id,article,highlights
80776790599b34cc1a3ac5f7a28a3f5a26ef4d78,"Pakistan appear set to host Test-playing opposition in their home country for the first time in more than six years. Zimbabwe have reportedly agreed to travel for a short one-day international series next month, likely to take place in Lahore and Karachi. No tourists have played in Pakistan because of security fears since the terrorist attack on Sri Lanka's team bus in Lahore in March 2009 - when six policemen and two civilians died, and several of the tourists were injured. A policeman weeps over the covered body of one of his colleagues killed when gunmen attacked the Sri Lankan cricket team in March 2009. Their team bus came under fire while travelling through the city of Lahore . Sri Lankan cricketers were rescued by the Pakistani air force from Gadaffi Stadium after the terror attack . Security officials display arms and ammunition seized after the terrorists' attack on the Sri Lanka team . 'Home' Test and ODI series' in the meantime have taken place in the United Arab Emirates, England's destination for the second time this autumn, a tour for which an exact schedule is still to be confirmed. The details of Zimbabwe's proposed trip are also not yet known. But Pakistan Cricket Board president Shaharyar Khan has stated that, after discussions with his Zimbabwean opposite number Wilson Manase, he expects the short tour to go ahead. Pakistan's Misbah-ul-Haq (left) and Wahab Riaz look set to play international cricket in their homeland again . Shaharyar said: 'He (Manase) told me they are coming and they are coming with their full team - but (just) for a week. 'They will send a security team to assess the situation, following which they will confirm the tour. So they will come in the middle of May, and our efforts will be to host matches in Lahore and Karachi.'","Zimbabwe have reportedly agreed to visit Pakistan for ODI series in May .
Pakistan have not played host to major cricket series since 2009 .
There have been security fears since Sri Lanka were victims of terror attack .
Team bus was targeted by gunmen in Lahore, and eight people were killed ."
64ee7c9eb9f1efbb7da0ce80498434c623615b84,"As Zlatan Ibrahimovic famously believes the World Cup is 'nothing to watch' without him, he's unlikely to be quaking in his boots about facing Lionel Messi in the Nou Camp on Tuesday night. For most people, Barcelona's progress into the Champions League semi-final looks a formality given they beat Paris Saint-Germain 3-1 in the first leg in France. The only man bound to disagree is the one who modestly called his autobiography 'I am Zlatan'. Zlatan Ibrahimovic is put through his paces with Blaise Matuidi (left) and Zoumana Camara at the Nou Camp . Ibrahimovic and his PSG team-mates, including David Luiz, pictured, face Barcelona on Tuesday night . The Sweden international was suspended for the first leg after he was dismissed against Chelsea . At 33, Ibrahimovic is past caring what other people think of him. With an ego that makes Louis van Gaal look like a shrinking violet, he'll walk down the tunnel at the Nou Camp convinced in his own mind that Messi, Neymar and Luis Suarez will be in awe of him. When asked to name a dream team of team-mates he'd played with, he named himself up front with Messi – ahead of Thierry Henry and Alessandro del Piero. 'Football isn't something you plan in advance. It just happens,' he says. His 30-yard propellor kick for Sweden against England is rated by Steven Gerrard as the greatest goal he's ever seen. To be fair, Ibrahimovic's CV allows him plenty of bragging rights. The Swede with Bosnian roots has played for Ajax, Juventus, Barcelona and both Milan giants. He once won eight league titles in a row. Not bad for a poor kid whose immigrant parents moved to the roughest part of Malmo. Now he's trying to make new history with PSG. He was the marquee signing when Qatari owners bought the Paris side and decided to try and turn it into Europe's greatest football club. They agreed to pay him £200,000-a-week, even though France's 75 per cent top tax rate meant their total bill would be close to £50million a year. Not that Ibrahimovic is that overly grateful. He recently called France a 's**t country' and had to apologise in a rare burst of self-awareness. Despite domestic dominance, Champions League glory has remained elusive so far. Ibrahimovic has never won the trophy as a player, and his bad luck in the competition continued when he was harshly sent off in the previous round against Chelsea and was therefore suspended for the first leg against Barca. Ibrahimovic is PSG's main attraction and will take centre stage against his old club Barcelona on Tuesday . The former Barcelona striker jumps for joy after scoirng against Bastia in the French League Cup final . Ibrahimovic, pictured celebrating with Marquinhos, will be convinced that PSG can progress against Barca . For Paris to pull off one of European football's greatest comebacks, Zlatan and Marco Verratti will have to excel. Ibrahimovic undoubtedly has the talent to produce a flash of brilliance or two to put Luis Enrique's men under pressure. His balletic left-footed back heel while on the rise for Sweden against Italy at Euro 2004 was a goal very few players could have scored. His famous strike against England silenced those who wondered why he could never produce against British clubs. Against Barcelona, Ibra will have special motivation. He spent a season at the Nou Camp in 2009/10. It should have been the perfect stage for his talents but he moved to Inter Milan after just a year. Ibrahimovic spent just one season at the Nou Camp before moving to Serie A giants Inter Milan . He felt Messi's insistence on playing more centrally inhibited his own game and that coach Pep Guardiola wasn't strong enough to devise a system that could incorporate both of them. He called Guardiola a 'spineless coward' after Barcelona were beaten by Jose Mourinho's Inter Milan in the Champions League. Ibrahimovic made his point by scoring for Paris in Barcelona in a group game earlier this season. But this is the big one. Nobody will give him a chance – except for Zlatan himself.","Zlatan Ibrahimovic will line up against former club Barcelona on Tuesday .
PSG travel to face the Spanish giants trailing 3-1 in their European tie .
The French club must score at least three times to reach the semi-finals .
Ibrahimovic is back in action after missing the first leg through suspension .
READ: Laurent Blanc labels semi-final qualification 'practically impossible'"
f1800e637e0dbd90a58b2bcfa980fcbbbab1e0bb,"A lion had an unfortunate accident when it got its head stuck in a feeding barrel at a zoo in the Netherlands. Captured by a visitor to the Dierenrijk zoo, the lion can be seen inserting its head into the barrel and attempting to retrieve a piece of meat. Zoo keepers place food in barrels to stimulate the lions, as it replicates the challenges faced when the animals feed in the wild. The animal, hoping to beat two other lions to the food, reaches in too far and suddenly gets its head stuck. Reacting in a panic the lion jumps backwards and attempts to flick the barrel from its head as the other lions chase after it. Visitors to the zoo can be heard laughing hysterically while the lion desperately tries to set itself free. The animal, hoping to beat two other lions to the food, reaches into the barrel too far and gets its head stuck . The other lions chase after the barrel as the distressed animal runs around in a circle and attempts to free itself . One lion appears to come to the rescue by jumping up and standing on the barrel while the lion pulls from the ground. But unfortunately the animal is unable to free its head and the other two lions walk around looking perplexed. Feeling sorry for itself, the distressed lion stands alone in the corner before turning and running frantically towards the zoo’s visitors. The lion reacts in panic and attempts to flick the barrel from its head by running around . Visitors watch on as the lion jumps around and even runs towards the people standing at the edge of the enclosure . The video concludes with the lion looking well and truly fed up as it lies on the ground, exhausted by its failed attempts to break free. According to the video maker, the lion was eventually freed from the barrel and it was unharmed. He said: ‘To make feeding a little bit more exciting for the lions they [the keepers] put meat in a barrel with two small openings. According to the video maker, the lion was eventually freed from the barrel and it was unharmed . The other lions look perplexed and one even looks as if it is trying to help its friend by standing on the barrel . ‘The lions had to get the meat out of the barrel through the holes. Instead one lion put his head through a hole and got stuck. ‘He was walking around and bumped into some objects. He became exhausted, but is basically still all right. ‘After closing time, a veterinarian came and anaesthetised the lion. The barrel was cut off and the lion did not have any injuries. He is happily walking around again.’ The video concludes with the lion looking well and truly fed up as it lies on the ground, exhausted by its failed attempts to break free .","Zoo keepers place food in the barrels to stimulate the lions when feeding .
One lion reaches too far into the food barrel and gets its head stuck .
Lion is captured on video thrashing about attempting to free itself .
The incident occurred at the Dierenrijk zoo in the Netherlands ."
c42d594a9a3e079b80f921ccc215acdd5f5a5790,"A 13-year-old girl has been gunned down by ISIS snipers in the Syrian capital of Damascus as she tried to flee a militant-held area of the city, according to reports. The teenager, identified as Zeynab Daghastani, was shot and killed as she made her way through the southern streets of the Al-Yarmouk Camp towards the nearby neighbourhood of Yalda. Zeynab was shot dead on the evening of April 7 last week according to a worker at the Jafra Foundation, an aid organisation working in the area. Zeynab Daghastani, 13, was reportedly gunned down by ISIS snipers in Al-Yarmouk Camp, on the outskirts of Damascus, as she fled the militants (pictured, Islamic State fighters as they captured the camp ten days ago) According to relief workers in the area, Zeynab was killed on Tuesday as she tried to make her way from Yarmouk to a nearby neighbourhood controlled by the Syrian Army (pictured, ISIS fighters in Yarmouk) The worker, named only as Nina, also revealed that activists and relief workers were also being targeted by ISIS, according to the IBTimes. Nina told the publication that she had got the information from Aknaf Bait al-Maqdis, a Palestinian rebel group who are trying to recapture Yarmouk from ISIS. Thousands of Palestinians have been trying to escape Yarmouk since the area fell under ISIS control on April 4, leaving 200 people dead in seven days, including children who were slaughtered in front of their parents. Around 160,000 Palestinians used to live in Yarmouk, just a few miles from the palace of president Bashar Al-Assad, but many fled after his regime began bombing the neighbourhood in 2012 during the Arab Spring uprisings. The district was soon surrounded and food, water, and electricity supplies were all cut off, with around 18,000 residents still trapped inside. Around 18,000 Palestinians have been under siege in Yarmouk since 2012, before ISIS fighters moved in earlier this month. Since then thousands more have fled, while many who remained have been killed . Those who have managed to escape Yarmouk since ISIS captured it have told of militants playing football in the streets with severed heads, and children killed in front of their families . The plight of those in Yarmouk was brought to international attention in February last year when the United Nations Relief and Works Agency finally managed to bring much-needed aid to the area. Hundreds of civilians were pictured packing the bombed-out streets, desperately trying to get their hands on and food available. It was estimated that, before the UN workers arrived, the average resident of Yarmouk was living on 400 calories a day, less than a quarter of the daily recommended amount. It was reported at the time that some had taken to eating stray cats and dogs in desperation, all while being shelled and bombed by Assad's troops. Their situation became even more dire at the start of this month when ISIS stormed the camp. Around 2,500 people managed to flee before the assault took place, but many were left behind, trapped when ISIS posted snipers in the tallest buildings surrounding the southern neighbourhoods. The plight of those trapped in Yarmouk came to light in February last year when UN aid workers were allowed in after years of siege conditions, and hundreds flooded the streets in search of food . Since ISIS seized control of around 70 per cent of the Yarmouk Camp, tales of their barbarity have leaked out as other Palestinians managed to escape their clutches. Amjad Yaaqub, 16, said he found Islamic State troops playing football with the severed head of a Palestinian rebel fighter they had executed. The teenager said he stumbled upon the scene after being beaten unconscious by fanatics hunting for his brother, a resistance fighter. When he woke up he walked outside his home and found the gruesome scene taking place. Other residents have also told of the fighters' barbarity. Abdel Fatah, 55, said: 'I saw severed heads. They killed children in front of their parents. We were terrorised. 'We had heard of their cruelty from the television, but when we saw it ourselves... I can tell you, their reputation is well-deserved.'","Zeynab Daghastani, 13, reportedly gunned down as she fled Yarmouk camp .
Teen trying to get to nearby Yalda district which is not under ISIS control .
Yarmouk, on the outskirts of Damascus, has been under siege since 2012 .
ISIS seized it ten days ago and have been butchering those trapped there ."
e87984842cccc73e1fcb5da99f27c0a0d6355796,"Economy passengers have long wished they were in first class with lie-flat beds and nice meals, but now it seems there is someone else to envy - the cabin crew. A new plane design has revamped the areas where cabin crew can enjoy from rest and relaxation in flight, and it seems they have more space than any passengers. A slick bunk bed design has been unveiled by Zodiac Galleys Europe, giving staff a bed each and some privacy for a little shut-eye during long-haul flights. Scroll down for video . First class accommodation! Zodiac Aerospace have revealed their new designs for luxury sleeping quarters for cabin crew . The lower deck area aims to maximise the sense of space and privacy for flight attendants as they rest . Drawing on the help of 30 flight attendants from four different continents, their lower deck designs reveal an area designed to feel spacious, private and with maximum personal comfort. Every bunk is equipped with a personal service unit (PSU) offering crew with individual comfort features such as an in-flight entertainment and air conditioning system. In order to maximise the sense of space, innovative materials and lighting solutions were designed and implemented. The Zodiac Aerospace concept was revealed Aircraft Interiors Expo in Hamburg last week, which aimed to showcase the latest developments in aircraft manufacturing. The company has been creating Lower Deck Mobile Crew Rests for Airbus A330/A340 since the '90s and is the market leader for this area. Each section boasts a personal service unit (PSU) offering crew with individual  in-flight entertainment systems and air conditioning . They aimed to start from a clean slate  in order to create a new concept for sleeping areas, and conducted extensive market research to achieve this. 'The goal was not only to improve on quantitative aspects such as cost and weight, but also to enhance the user experience,' a spokesperson for Zodiac Aerospace stated to Skift. 'In every step of the process users were involved. 'The extensive research provided a thorough understanding of the factors which influence how users experience crew rests.' Cabin envy! The deluxe areas were created after Zodiac Aerospace spoke to 30 flight attendants from four different continents . Last year other rare photographs revealed the tiny space quarters afforded to flight attendants on Boeing 373 Dreamliners. Unlike the Aerospace lower deck areas, the Boeing Crew Rest Departments (CRCs) can be located in a compartment at the top of the plane, or in a hidden section of the same cabin as passengers. Enough room to swing a cat? A file picture reveals the Crew Rest Department on board a Boeing 777 . On a Cathay Pacific 777-300ER there is a concealed staircase leading to the CRC at the rear of the plane. Attendants have to duck to get through it, but there is room for eight flight staff with six foot bunk beds with heavy curtains for blocking out noise from other crew members. Instructions state that one crew member can be on a bunk at a time, and never during taxi, take off and landing. When not in use, the secret door must be closed and latched to avoid passengers wandering in. Sleep tight: The cosy and comfortable looking crew sleeping quarters on the Boeing 787 Dreamliner . Pilots have their own separate sleeping quarters, such as this one, on the Boeing 787 Dreamliner . Looking out over the passengers: Cabin crew can keep an eye on everyone on the flight in case of any issues .","Zodiac Aerospace revealed new designs for cabin crew quarters based on feedback from airline workers .
The luxury concept aims to maximise space, comfort and privacy, with a bunk bed system .
Each bunk has a personal entertainment and air-conditioning system and lie-flat area .
Areas are hidden away from passengers behind concealed doors on the lower deck ."
dc69e09212bb9ac1965ba53f7437c7a5f9193eb4,"A cafe in the Philippines is serving up artistic cups of coffee for customers who enjoy their beverages tailor made. The owner of the Bunny Baker Cafe in Manila etches customised caricatures into coffee froth at no extra cost to his clientele, even detailing local favourite, boxer Manny Pacquiao. Graphic artist Zach Yonzon runs the cafe with his wife and uses steamed milk and froth as the canvas upon which he creates his masterpieces which can leave happy memories for tourists. Zach Yonzon uses steamed milk and froth as the canvas upon which he creates his masterpieces . And the tools of his unique trade include a spoon and a barbecue skewer, which he dips in dark chocolate. The service started out as a simple novelty when the owner began etching rabbits, which coincide with the cafe's theme, into cups of coffee. But the idea quickly expanded when customers started asking for more intricate and complicated designs. This means tourists to the area can leave with a special memento from their time that they can show off to family and friends alike. Captured in the short video, the cafe's owner Mr Yonzon can be seen etching the face of the much-loved Filipino boxer Manny Pacquiao, into a cup of coffee. The tools of his unique trade include a spoon and a barbecue skewer, which he dips in dark chocolate . The graphic artist etches customised caricatures into coffee froth for guests at no extra cost . He says: 'They've never seen anything like that. The most that they've ever seen is a leaf or a heart, and that already makes them happy, but I want to go one step further. 'I want to go one step further and give them a picture of their baby, their boyfriend, or their favourite cartoon character. If that makes them happy, that makes them smile, that's cool.' According to the Mr Yonzon, the biggest challenge he faces is to get the picture etched into the froth before it dissolves and the coffee turns cold. But he claims that his art can be done with almost any type of coffee drink and that the final product will depend on the thickness of the beverage and the amount of froth that tops it. Mr Yonzon etches the face of the much-loved Filipino boxer Manny Pacquiao into a cup of coffee . The service started when the owner began etching rabbits, which coincide with the cafe's theme, into cups of coffee . Angie Yu, a customers who requested to have the face of her child in her coffee, said: 'I'm actually amazed because it's not often, you usually see the hearts. 'You'll see the normal, simple decorations, but you won't see art in the coffee.' Mr Yonzon has now started offering small workshops at night for those who wish to learn his craft as the cafe's popularity has continued to grow. Abi Radilla, a college student who enrolled at Yonzon's workshop, said: 'My parents love to drink coffee, so maybe I can do latte art whenever they drink.' Mr Yonzon plans on expanding his special service, and hopes to soon be able to produce three dimensional caricatures. The graphic designer claims that his art can be created with almost any type of coffee drink . Mr Yonzon has now started offering small workshops at night for those who wish to learn his craft .","Zach Yonzon runs the Bunny Baker Cafe with his wife in Manila .
Artist uses a spoon and a barbecue skewer dipped in chocolate .
Creates incredibly detailed portraits at the request of customers .
Service started out as novelty when owner began etching rabbits .
Artistic barista hopes to one day be able to create 3D caricatures ."
ef2d42928cc3b1762d0bbb6037db308db53fc864,"Dog tags a U.S. soldier lost on a Massachusetts beach 70 years ago have been returned to his son at the same place. Zachariah Fike head of Vermont-based Purple Hearts Reunited, says the military ID belonged to World War II veteran Cpl. William Benn, who lost them in 1939 at a coastal artillery placement on Salisbury Beach. Metal detector enthusiast Bill Ladd found them after a storm last year. Metal detector enthusiast Bill Ladd found the missing dog tags after a storm last year, returning them to the vet's son, William Benn of Rhode Island . Fike and Ladd gave the tags to William Benn of Providence, Rhode Island, on Sunday afternoon. Cpl. Benn manned a gun during the 1941 attack on Pearl Harbor. He was awarded the Silver Star for shooting down several Japanese aircraft the next year as a tail gunner on a B-17 bomber at the Battle of Midway. Benn died in 2002. Fike's group recently received a $50,000 grant. The tags came from World War II veteran Cpl. William Benn, who lost them in 1939 at a coastal artillery placement on Salisbury Beach . Purple Hearts Reunited says it will use the money from the Military Order of the Purple Heart Service Foundation to cover the 'purchase or rescue' of Purple Heart medals, the cost of framing, travel expenses and event and presentation costs. Purple Hearts are awarded to service members, or the family of service members, who have been wounded or killed in combat. The organization has hundreds of medals it hopes to return to the veterans who earned the medals or their families.","Zachariah Fike head of Vermont-based Purple Hearts Reunited, says the military ID belonged to World War II veteran Cpl. William Benn .
Benn lost them in 1939 at a coastal artillery placement on Salisbury Beach .
Discovered last year by metal detector enthusiast following a storm ."
5ba8bf5e8d26e0d9e594d51a82e4a312ed37109c,"She's a professional equestrienne and was happy to have a go at wheelchair rugby, a sport nicknamed 'murder ball', during last September's Invictus Games. Now Zara Tindall, 33, has turned her hand to barrel-pulling - and laughingly pretended to pull her 16st 6ft rugby player husband Mike along while striking a pose for the cameras. The moment came during a charity event to mark the end of personal trainer Rob Edmond's marathon barrel-roll from Perthshire to Wiltshire. Taking the strain: Zara straps herself into Mr Edmond's barrel-pulling harness . Pull! Zara pretends to move off while husband Mike beams from his perch on the barrel . Edmond, who set off nine days and 517 miles ago, rolled the whisky barrel for 12 hours a day, only stopping to sleep and take part in comedy gigs at pubs along the way. The Bell's Barrel of Laughs trek also saw Edmond, who was the personal trainer on ITV's The Biggest Loser, joined by comedians including Fred MacAulay, Mark Dolan and Rufus Hound. Actress Joanna Lumley launched the challenge at the Blair Athol Distillery last week, while Zara was at the finish line at the Tedworth House Help for Heroes recovery centre. Tindall, meanwhile, joined Edmond for the final leg of the challenge - running with the personal trainer as he approached the finish line. 'It was good,' said the 36-year-old afterwards. 'I would like to say that I did all the hard work but I just got the glory run in with him. All smiles: Zara, who gave Mr Edmond a hug as he arrived (right), certainly appeared to enjoy the experience . Good effort: Mr Edmond, centre, rolled the barrel 517 miles from Perthshire to Wiltshire . Joking around: Zara, who is working towards 2016's Olympic Games, struck a series of poses in the harness . Support: Zara had turned out to watch Mr Edmond and husband Mike cross the finish line . 'I think the most impressive thing about him is that he is just a bit of a joker and he was telling stories about putting deep heat on people's hats to make their eyes water. 'He was talking about keeping his mind entertained and having a laugh. The one thing you see with people who have been around the military is that when they are in adversity or a tough place they always know how to have a laugh and how to make time pass.' Edmond, whose fundraising drive was also supported by Marston's Pubs, added: 'It's been a monumental challenge but we've made it and the support has been fantastic. 'We can't thank the British public enough.' Tindall, who recently appeared in the Bear Grylls endurance show Mission Survive, praised the work of Help for Heroes, which is set to benefit from Edmond's feat. 'Tedworth House is a pretty impressive place and looks the bees knees, and it is great to see how the money helps,' he said. He also revealed that he hopes to take on some charity challenges of his own. 'I am always quite keen to do any sort of charity challenges now that I am retired,' he said. 'I am doing a quadrathlon later this year, which I am a little bit worried about. I have always enjoyed this type of challenge, so you never know.' Achievement: Mr Edmond, who managed to cover 60 miles a day, completed the feat in just nine days . Heavy: Mr Edmond ran the entire way and rolled the whisky barrel for up to 12 hours a day . Helping out: Mike Tindall ran the final few miles alongside Mr Edmond . Beneficiary: The money raised by Mr Edmond will be donated to Help for Heroes .","Zara and Mike Tindall were at a Help for Heroes event in Wiltshire .
Cheered personal trainer Rob Edmond who was completing a challenge .
Edmond rolled a whisky barrel 517 miles from Perthshire to Wiltshire .
Tindall ran the final mile and says he would like to do a similar challenge .
Zara strapped herself into the barrel and laughingly gave Tindall a lift ."
a6568bfe8ea596b65eaab5fa5e13238f229e3cab,"Some teachers draw pictures on the whiteboard to explain new concepts to students. But one chemistry lecturer draws on her own skin, due to an unusual medical condition. Dr Zoe Waller, 31, who teaches pharmacy at the University of East Anglia, suffers from the skin condition dermatographia. This is a type of urticaria, or hives - where a raised, itchy rash appears on the skin at the slightest pressure. It is thought to be caused when the cells under the surface of the skin release histamines as part of an allergic reaction, causing the skin to swell. Dr Zoe Waller, 31, is a university lecturer and uses her own skin to teach her students about new drugs and molecules, as she suffers from the skin condition dermatographia . Whenever Dr Waller draws on the skin, her condition means raised red  weals appear and she can create designs. She uploads them to social media and they are making waves across the university . However instead of hiding away her condition, Dr Waller is using it as a teaching aid. Her students are required to learn 100 drugs for their course and each day, she will draw a new one on her skin. Word of the unusual teaching method has spread across the university as well as social media where Dr Waller uploads her quirky designs. She said: 'I was only diagnosed with this two years ago and it's a pretty cool condition to have. 'Some people look at my arm and think I've been self-harming but it doesn't hurt at all. 'I use a blunt pencil or cocktail stick to create the detail needed for the composition of the drugs.' Dermographism or 'skin writing' is a type of urticaria, or hives - where a raised, itchy rash appears on the skin. Dermatographia is thought to be caused when the cells under the surface of the skin release histamines under the slightest pressure. Histamines are chemicals released in the body as part of an allergic reaction, causing the skin to swell. In this type of urticaria, itchy weals occur after friction such as rubbing or stroking the skin. This itching may be aggravated by heat. Weals and red marks also often appear as lines at the sites of scratching, and generally last for less than one hour.' Antihistamines block the effect of histamine, and reduce itching and the rash in most people, but may not relieve urticaria completely. If urticaria occurs frequently, it is best to take antihistamines regularly every day. The lecturer discovered her unusual skin condition after she started working at the University's school of pharmacy. She noticed her skin was itchy and irritated but the doctor couldn't remember the name of the condition he thought she had and sent her away with anti-histamines. She said: 'I was left confused after visiting the doctor. Then my friend in America sent me a link to Ariana Russell's work and I knew then that was what I had.' Ariana Russell is an artist in the USA who uses her own body and dermatographia to create artwork. Inspired by Ariana, Dr Waller set to work on her own project - creating science molecules and compounds for her students using her skin. Her students and fellow professors often ask her for requests which she happily draws on her skin. Dr Waller said: 'My skin might not be like this forever but it's a fun and unusual way of teaching my students and it grabs their attention a lot more than a text book would.' Dr Tabi Leslie, from the British Association of Dermatologists, explained that dermographism or 'skin writing' is a type of urticaria. She said: 'Raised red weals, which are caused by the release of histamine from cells in the skin called mast cells, appear at sights of friction, such as rubbing or stroking of the skin. 'This itching may also be aggravated by heat. 'Weals and red marks often appear as lines at the sites of scratching, and generally last for less than one hour. 'Antihistamines are used to reduce the itch and the rash, and are effective in most patients. People across the university have began to make requests for designs they want Dr Waller to draw on herself . 'However, antihistamines may not relieve the symptoms completely in all cases. 'In such cases, other treatments may need to be used in addition, or higher dosages of antihistamines may be prescribed than licensed recommendations suggest. 'Sufferers of dermographism may need to take antihistamines on a daily basis, as long as the symptoms persists. Usually, the non-sedating antihistamines are preferred as they have fewer side effects. 'Treatment needs to continue until the condition settles by itself which may take years. 'Your doctor will advise you on the best regime depending on the severity of your symptoms.' For more information of uticara, visit Allergy UK.","Zoe Waller, 31, has dermatographia and can draw designs on her own body .
Condition is a type of urticaria - where an itchy rash appears after pressure .
She says it 'doesn't hurt' and draws molecules on herself to teach students .
Has become  famous across her university and people now make requests ."
b094b897c757110ecaaf84244b4357e7c0969d14,"Zoe Hadley, also known as Zoe Hommel, who hanged herself in a hotel room after suffering a mystery illness . The teenage daughter of a leading solicitor hanged herself in a hotel room after years of suffering a mystery illness that left her unable to eat, walk or open her eyes for long periods, an inquest has heard. Zoe Hadley, 19, also known as Zoe Hommel, had been battling an undiagnosed illness since the age of 13 and was found dead at a hotel in Putney, south west London last year. An inquest at Westminster Coroners Court heard how her parents, solicitor Lisa Hommel and her GP father Laurence, struggled to treat her condition. The inquest heard how doctors could find no physical cause for her illness and that the teenager refused to accept she had mental health problems. She insisted on having a series of operations, including the removal of her healthy appendix and accused her father of conspiring to fake an operation to make her believe she'd had a surgery for a prolapse. The inquest also heard that Miss Hadley suffered from psychosis but hid the condition from doctors, making them think she was not a suicide risk. After her death, notes she had written saying she was 'tormented by voices' indicating she might have been suffering from schizophrenia, the hearing was told. A statement read to the hearing on behalf of her father, Dr Hommel, described how he and his wife fought to cope with their daughter’s illness and their vain attempts to help her. He said: 'She was a beautiful, intelligent, loving daughter. 'Up until the age of 13 she excelled at school. In 2009 she started to suffer terrible headaches and no physical causes were found. 'She was not eating, drinking or opening her eyes. It took her three months of treatment at Great Ormond Street Hospital to open her eyes and look at us, four months to eat solid food, six months before she could get into a wheelchair. The cause of the illness was never found.' He said she recovered quickly and was 'so determined' to catch up with her friends after missing nine months of school she did a year’s work in just one month, later coming top of her class. However, she relapsed in April 2011 and became convinced she could not use her legs. Her parents tended to her while trying to convince her she was perfectly fit. Dr Hommel added: 'From the age of 16 she started to go to the doctors to seek diagnoses for a neurological disease she believed she suffered from and seek a cure for her paralysis. 'In September 2011 she cut off all her school friends and never spoke to them again.' During that time she was bedbound for 18 months in hospital, but decided one day she was better and started getting involved as an actress and planning to go to America to finish her studies, the inquest heard. When she was 18 she had her appendix removed without telling her parents. In May 2014, after going under anaesthetic for an 'unnecessary operation' she began to hear voices. She also suffered from obsessive compulsive disorder (OCD) and spent three to four hours a day washing herself and her possessions, leaving her skin raw and bleeding. At one point she was admitted to hospital after her body mass index dropped to 15, the inquest heard. The inquest heard that Miss Hadley, pictured, suffered from psychosis but hid the condition from doctors, making them think she was not a suicide risk . She was treated at the Priory clinic for OCD, but was released because she refused food and doctors feared she would starve herself to death unless she was allowed to return home and be treated there. Her father explained: 'We sought expert psychiatric help for her which she rejected. 'She became increasingly psychotic, the voices returned with intensity. She never accepted help. It was unintelligible to her that her illnesses were not physical. We hope she is finally at peace and her soul is in a better place.' Jonathan Bindman, who worked at Barnet, Enfield and Haringey Mental Health Trust, took charge of Miss Hadley’s treatment after she was released from The Priory in October 2014. He diagnosed her with somatoform disorder, an anxiety-related condition whose sufferers feel real pain that can’t be medically explained. However, he said that had she revealed the extent of her psychosis he would have diagnosed her with schizophrenia and given her the treatment she needed. He added: 'Zoe was not prepared to cooperate. Westminster Coroner's Court, pictured, heard how Miss Hadley was an intelligent and gifted young woman until showing signs of mental illness . 'She experienced delusions around the issue her father and a surgeon had faked an operation and was conspiring against her.' Detective Constable William Hanlan, who carried out the investigation into her death, said she checked into the MK Hotel in Putney on the morning of January 26 last year. The next day her body was found by a cleaner. Recording a verdict of suicide, Westminster Coroner Fiona Wilcox said: 'She was an intelligent, gifted young woman, who until the age of 13 was normal but very clever. 'From 2009 she began to show signs of a serious mental illness. Her symptoms were persistent ideas she suffered from some illness that was undiagnosed by doctors. 'She was very intelligent and used her intelligence at times to share with those around her as much as she wanted them to know and did so successfully. 'Her illness was incredibly disabling and completely affected every aspect of her life. 'She was suffering from a psychotic illness which impacted on her decision to take her own life. Maybe she intended to take her own life to escape from the illness or she took her own life suffering under a delusion. I don’t know. 'Her parents, clearly for many years, did everything possible for their daughter who was very clearly troubled and unwell.'","Zoe Hadley, 19, was found dead in a hotel in Putney, south west London .
Teenager had been battling an undiagnosed illness since she was 13 .
Her parents, a leading solicitor and a GP, struggled to treat her condition .
Inquest heard how she refused to accept she had mental health problems .
For confidential support on suicide matters in the UK, call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here."
